study_no,study_case_id,repo,tool,selection_type,selection_note,priority_reason,case_kind,reported_file,reported_line,reported_column,location_validity,source_region,mode,case_uid,run_dir,input_bc,input_ll,raw_artifact,raw_row_or_line,ir_function,ir_instruction,ir_line,ir_snippet,source_snippet,message,root_cause_hint,confidence,evidence_files,notes
11,paper-zfp-phasar-11,zfp,phasar,unique-location,unique P0 location selected from deduplicated inventory,SourceTextMismatch,LocationDrift,CompilerOptimization/Target/zfp/src/template/encode.c,244,,valid,project_source,ifds-uninit,phasar.zfp.O2g.000032,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/phasar/phasar-O2-g/runs/ifds-uninit/zfp_O2_g-Mon-Mar-16-07:42:15-2026,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/phasar/phasar-O2-g/artifacts/zfp_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/phasar/phasar-O2-g/artifacts/zfp_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/phasar/phasar-O2-g/runs/ifds-uninit/zfp_O2_g-Mon-Mar-16-07:42:15-2026/psr-report.txt,472,encode_ints_uint32.29,,481,"%256 = add i64 %250, 1, !dbg !18796, !psr.id !18797 | ID: 10893",    if (size <= 64),"Phasar IFDS-Uninitialized use; variables=s, s; reported_source=if (++s->bits == wsize) {",debug_location_or_source_attribution_drift_candidate,0.95,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/phasar/phasar-O2-g/runs/ifds-uninit/zfp_O2_g-Mon-Mar-16-07:42:15-2026/psr-report.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/phasar/phasar-O2-g/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/phasar/phasar-O2-g/log/summary.csv,Generated by re-parsing psr-report.txt; source_resolution=direct_or_container_remap; exact source line was revalidated against the resolved source tree.
12,paper-zfp-phasar-12,zfp,phasar,unique-location,unique P0 location selected from deduplicated inventory,SourceTextMismatch,LocationDrift,CompilerOptimization/Target/zfp/src/template/encode.c,26,,valid,project_source,ifds-uninit,phasar.zfp.O2g.000168,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/phasar/phasar-O2-g/runs/ifds-uninit/zfp_O2_g-Mon-Mar-16-07:42:15-2026,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/phasar/phasar-O2-g/artifacts/zfp_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/phasar/phasar-O2-g/artifacts/zfp_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/phasar/phasar-O2-g/runs/ifds-uninit/zfp_O2_g-Mon-Mar-16-07:42:15-2026/psr-report.txt,2925,zfp_encode_block_float_2,,2934,"%264 = sub i32 %262, %263, !dbg !30918, !psr.id !30919 | ID: 18727",  },"Phasar IFDS-Uninitialized use; variables=z, x, z; reported_source=w -= z; z -= y;",debug_location_or_source_attribution_drift_candidate,0.95,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/phasar/phasar-O2-g/runs/ifds-uninit/zfp_O2_g-Mon-Mar-16-07:42:15-2026/psr-report.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/phasar/phasar-O2-g/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/phasar/phasar-O2-g/log/summary.csv,Generated by re-parsing psr-report.txt; source_resolution=direct_or_container_remap; exact source line was revalidated against the resolved source tree.
13,paper-zfp-seahorn-13,zfp,seahorn,unique-location,unique P0 location selected from deduplicated inventory,LineZero,LocationInvalid,Target/zfp/include/zfp/bitstream.inl,0,0,line_zero,project_source,smc_instrument,seahorn.zfp.O2g.000001,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/sea.smc.instrument.stderr.log,6,,,,"%31 = phi i64 [ %22, %25 ], [ %22, %24 ], [ poison, %28 ], !dbg !401",,Possible read of undefined value at,location_invalid_or_untrusted_debug_location,0.95,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/summary/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/sea.smc.instrument.stderr.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/report/final_report.md,all_cases_case_id=6;all_cases_step=09;all_cases_name=smc_instrument;collected_from=all_cases.undefined_read_block;resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/zfp/include/zfp/bitstream.inl
14,paper-zfp-seahorn-14,zfp,seahorn,repeat-location-variant,unique locations are insufficient for this repo/tool; selected a second raw P0 row as same-location evidence variant,LineZero,LocationInvalid,Target/zfp/include/zfp/bitstream.inl,0,0,line_zero,project_source,smc_typeoff,seahorn.zfp.O2g.000157,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log,164,,,,"%31 = phi i64 [ %22, %25 ], [ %22, %24 ], [ poison, %28 ], !dbg !401",,Possible read of undefined value at,location_invalid_or_untrusted_debug_location,0.95,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/summary/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/report/final_report.md,all_cases_case_id=164;all_cases_step=07;all_cases_name=smc_typeoff;collected_from=all_cases.undefined_read_block;resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/zfp/include/zfp/bitstream.inl
15,paper-zfp-dg-15,zfp,dg,unique-location,unique P0 location selected from deduplicated inventory,LineZero,LocationInvalid,,0,0,line_zero,unknown,cda_dod,dg.zfp.O2g.0000001,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/work/zfp.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_dod.pass1.lines.stdout.log,3,,,,,,0:0 -> 1278:10,dg_c_lines_reported_invalid_source_location,0.95,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/summary/line_hits.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_dod.pass1.lines.stdout.log,source_resolution=missing;summary_csv=line_hits.csv;summary_row=2;source_candidate_index=1;source_count=0;native_output_line=3
16,paper-zfp-dg-16,zfp,dg,repeat-location-variant,unique locations are insufficient for this repo/tool; selected a second raw P0 row as same-location evidence variant,LineZero,LocationInvalid,,0,0,line_zero,unknown,cda_dod_ntscd,dg.zfp.O2g.0000136,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/work/zfp.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_dod_ntscd.pass1.lines.stdout.log,23,,,,,,0:0 -> 143:7,dg_c_lines_reported_invalid_source_location,0.95,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/summary/line_hits.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_dod_ntscd.pass1.lines.stdout.log,source_resolution=missing;summary_csv=line_hits.csv;summary_row=136;source_candidate_index=1;source_count=0;native_output_line=23
17,paper-zfp-cclyzerpp-17,zfp,cclyzer++,unique-location,unique P0 location selected from deduplicated inventory,ColumnOutOfRange,LocationInvalid,/home/jimi/PaperExperiment/CompilerOptimization/Target/zfp/src/zfp.c,34,23,column_out_of_range,project_source,subset.var_points_to,cclyzerpp.zfp.O2g.001126,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/ir/zfp_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/all_cases.csv,subset.var_points_to:530520:bd8a5b652ad0d7e55e28cf217fa7289f37b889e2,print_error,<llvm-link>:print_error:6,34,"%6 = bitcast i8* %0 to i64*, !dbg !39036",  if (min),Wanted-AliasCollapseWithBadLocation; subset.var_points_to; ColumnOutOfRange; points_to_count=11,SROA_or_Mem2Reg_or_Phi-node_merge_or_GVN,medium,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/snippets/cclyzerpp_zfp_O2g_046804.source.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/snippets/cclyzerpp_zfp_O2g_046804.ir.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/snippets/cclyzerpp_zfp_O2g_046804.row.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/relations;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/commands/command.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/status/run_status.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/log/cclyzerpp.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/report/final_report.md;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/analysis_manifest.json;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/inventory/relation_row_counts.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/index/ir_instruction_index.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/map/native_fact_source_map.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/report/final_native_output_analysis.md,source_exists=1; original_priority=P0; mapping_status=ColumnOutOfRange; phenomenon=Wanted-AliasCollapseWithBadLocation
18,paper-zfp-cclyzerpp-18,zfp,cclyzer++,unique-location,unique P0 location selected from deduplicated inventory,ColumnOutOfRange,LocationInvalid,/home/jimi/PaperExperiment/CompilerOptimization/Target/zfp/src/zfp.c,35,23,column_out_of_range,project_source,subset.var_points_to,cclyzerpp.zfp.O2g.001127,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/ir/zfp_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/all_cases.csv,subset.var_points_to:530509:6ce6292c88d45a54b0e6256c791b0654552ae916,print_error,<llvm-link>:print_error:8,35,"%7 = bitcast i8* %0 to float*, !dbg !39037",    *min = imin;,Wanted-AliasCollapseWithBadLocation; subset.var_points_to; ColumnOutOfRange; points_to_count=11,SROA_or_Mem2Reg_or_Phi-node_merge_or_GVN,medium,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/snippets/cclyzerpp_zfp_O2g_046805.source.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/snippets/cclyzerpp_zfp_O2g_046805.ir.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/snippets/cclyzerpp_zfp_O2g_046805.row.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/relations;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/commands/command.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/status/run_status.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/log/cclyzerpp.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/report/final_report.md;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/analysis_manifest.json;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/inventory/relation_row_counts.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/index/ir_instruction_index.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/map/native_fact_source_map.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/cclyzerpp/LLVM14-O2-g/run_20260430_174927/ValueCases/report/final_native_output_analysis.md,source_exists=1; original_priority=P0; mapping_status=ColumnOutOfRange; phenomenon=Wanted-AliasCollapseWithBadLocation
19,paper-zfp-yapall-19,zfp,yapall,unique-location,unique P0 location selected from deduplicated inventory,LineZero,LocationInvalid,/home/jimi/PaperExperiment/CompilerOptimization/Target/zfp/src/template/decodei.c,0,,line_zero,project_source,subset:k0:default,yapall.zfp.O2g.001940763,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/yapall/LLVM14-O2-g/run_20260426_yapall_zfp_k0,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/yapall/LLVM14-O2-g/run_20260426_yapall_zfp_k0/log/CompilerOptimization_CompilerResult_zfp_LLVM14-O2-g_artifacts_zfp_O2_g_bc_subset_k0_default.log,line=17; kind=invalid_load; operand=zfp_decode_block_int64_2:zfp_decode_block_int64_2:2:8; allocation=*null,zfp_decode_block_int64_2,zfp_decode_block_int64_2:zfp_decode_block_int64_2:2:8,8,"%9 = load %struct.bitstream*, %struct.bitstream** %8, align 8, !dbg !18006, !tbaa !1267",,invalid_load issue; site_resolution=resolved_exact_operand_instruction; classification=Wanted-LineColumnMissing; all_classes=Wanted-LineColumnMissing,DWARF location drift,high,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/yapall/LLVM14-O2-g/run_20260426_yapall_zfp_k0/log/CompilerOptimization_CompilerResult_zfp_LLVM14-O2-g_artifacts_zfp_O2_g_bc_subset_k0_default.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/yapall/LLVM14-O2-g/run_20260426_yapall_zfp_k0/commands/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/yapall/LLVM14-O2-g/run_20260426_yapall_zfp_k0/status/run_status.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/yapall/LLVM14-O2-g/run_20260426_yapall_zfp_k0/report/final_report.md;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/yapall/LLVM14-O2-g/run_20260426_yapall_zfp_k0/ValueCases/summary.md,candidate_id=zfp_000000002; issue_id=ad1e554fe4a0c51d; mapping_status=source_line_missing; token_at_column=; expected_token_kind=load-like pointer token; actual_token_kind=column_unknown; site_role=operand_definition; ll_source=native_compiler_artifact
20,paper-zfp-yapall-20,zfp,yapall,unique-location,unique P0 location selected from deduplicated inventory,LineZero,LocationInvalid,/home/jimi/PaperExperiment/CompilerOptimization/Target/zfp/src/template/encodef.c,0,,line_zero,project_source,subset:k0:default,yapall.zfp.O2g.001940781,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/yapall/LLVM14-O2-g/run_20260426_yapall_zfp_k0,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/yapall/LLVM14-O2-g/run_20260426_yapall_zfp_k0/log/CompilerOptimization_CompilerResult_zfp_LLVM14-O2-g_artifacts_zfp_O2_g_bc_subset_k0_default.log,line=35; kind=invalid_load; operand=zfp_encode_block_float_2:zfp_encode_block_float_2:534:24; allocation=*null,zfp_encode_block_float_2,zfp_encode_block_float_2:zfp_encode_block_float_2:534:24,24,"%549 = load %struct.bitstream*, %struct.bitstream** %548, align 8, !dbg !12037, !tbaa !1267",,invalid_load issue; site_resolution=resolved_exact_operand_instruction; classification=Wanted-LineColumnMissing; all_classes=Wanted-LineColumnMissing;InlineAttributionDrift;WrongFunctionAttribution,DWARF location drift;inline,high,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/yapall/LLVM14-O2-g/run_20260426_yapall_zfp_k0/log/CompilerOptimization_CompilerResult_zfp_LLVM14-O2-g_artifacts_zfp_O2_g_bc_subset_k0_default.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/yapall/LLVM14-O2-g/run_20260426_yapall_zfp_k0/commands/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/yapall/LLVM14-O2-g/run_20260426_yapall_zfp_k0/status/run_status.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/yapall/LLVM14-O2-g/run_20260426_yapall_zfp_k0/report/final_report.md;/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/yapall/LLVM14-O2-g/run_20260426_yapall_zfp_k0/ValueCases/summary.md,candidate_id=zfp_000000020; issue_id=69a99da45e28c45c; mapping_status=source_line_missing; token_at_column=; expected_token_kind=load-like pointer token; actual_token_kind=column_unknown; site_role=operand_definition; ll_source=native_compiler_artifact
